"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
3713,"NCT00004074","Interleukin-12 and Trastuzumab in Treating Patients With Cancer That Has High Levels of HER2/Neu","Completed","No Results Available","Advanced Adult Primary Liver Cancer|Anaplastic Thyroid Cancer|Bone Metastases|Carcinoma of the Appendix|Distal Urethral Cancer|Fallopian Tube Cancer|Gastrinoma|Glucagonoma|Inflammatory Breast Cancer|Insulinoma|Liver Metastases|Localized Unresectable Adult Primary Liver Cancer|Lung Metastases|Male Breast Cancer|Malignant Pericardial Effusion|Malignant Pleural Effusion|Metastatic Gastrointestinal Carcinoid Tumor|Metastatic Parathyroid Cancer|Metastatic Transitional Cell Cancer of the Renal Pelvis and Ureter|Newly Diagnosed Carcinoma of Unknown Primary|Occult Non-small Cell Lung Cancer|Pancreatic Polypeptide Tumor|Primary Peritoneal Cavity Cancer|Proximal Urethral Cancer|Pulmonary Carcinoid Tumor|Recurrent Adenoid Cystic Carcinoma of the Oral Cavity|Recurrent Adrenocortical Carcinoma|Recurrent Adult Primary Liver Cancer|Recurrent Anal Cancer|Recurrent Bladder Cancer|Recurrent Breast Cancer|Recurrent Carcinoma of Unknown Primary|Recurrent Cervical Cancer|Recurrent Colon Cancer|Recurrent Endometrial Carcinoma|Recurrent Esophageal Cancer|Recurrent Extrahepatic Bile Duct Cancer|Recurrent Gallbladder Cancer|Recurrent Gastric Cancer|Recurrent Gastrointestinal Carcinoid Tumor|Recurrent Islet Cell Carcinoma|Recurrent Malignant Testicular Germ Cell Tumor|Recurrent Mucoepidermoid Carcinoma of the Oral Cavity|Recurrent Non-small Cell Lung Cancer|Recurrent Ovarian Epithelial Cancer|Recurrent Pancreatic Cancer|Recurrent Parathyroid Cancer|Recurrent Prostate Cancer|Recurrent Rectal Cancer|Recurrent Renal Cell Cancer|Recurrent Salivary Gland Cancer|Recurrent Small Intestine Cancer|Recurrent Squamous Cell Carcinoma of the Larynx|Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity|Recurrent Squamous Cell Carcinoma of the Nasopharynx|Recurrent Squamous Cell Carcinoma of the Oropharynx|Recurrent Thyroid Cancer|Recurrent Transitional Cell Cancer of the Renal Pelvis and Ureter|Recurrent Urethral Cancer|Recurrent Vaginal Cancer|Recurrent Vulvar Cancer|Skin Metastases|Small Intestine Adenocarcinoma|Somatostatinoma|Stage III Adenoid Cystic Carcinoma of the Oral Cavity|Stage III Adrenocortical Carcinoma|Stage III Bladder Cancer|Stage III Cervical Cancer|Stage III Colon Cancer|Stage III Endometrial Carcinoma|Stage III Esophageal Cancer|Stage III Follicular Thyroid Cancer|Stage III Gastric Cancer|Stage III Malignant Testicular Germ Cell Tumor|Stage III Mucoepidermoid Carcinoma of the Oral Cavity|Stage III Ovarian Epithelial Cancer|Stage III Pancreatic Cancer|Stage III Papillary Thyroid Cancer|Stage III Prostate Cancer|Stage III Rectal Cancer|Stage III Renal Cell Cancer|Stage III Salivary Gland Cancer|Stage III Squamous Cell Carcinoma of the Larynx|Stage III Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage III Squamous Cell Carcinoma of the Nasopharynx|Stage III Squamous Cell Carcinoma of the Oropharynx|Stage III Vaginal Cancer|Stage III Vulvar Cancer|Stage IIIA Anal Cancer|Stage IIIA Breast Cancer|Stage IIIA Non-small Cell Lung Cancer|Stage IIIB Anal Cancer|Stage IIIB Breast Cancer|Stage IIIB Non-small Cell Lung Cancer|Stage IV Adenoid Cystic Carcinoma of the Oral Cavity|Stage IV Adrenocortical Carcinoma|Stage IV Anal Cancer|Stage IV Bladder Cancer|Stage IV Breast Cancer|Stage IV Colon Cancer|Stage IV Endometrial Carcinoma|Stage IV Esophageal Cancer|Stage IV Follicular Thyroid Cancer|Stage IV Gastric Cancer|Stage IV Mucoepidermoid Carcinoma of the Oral Cavity|Stage IV Non-small Cell Lung Cancer|Stage IV Ovarian Epithelial Cancer|Stage IV Pancreatic Cancer|Stage IV Papillary Thyroid Cancer|Stage IV Prostate Cancer|Stage IV Rectal Cancer|Stage IV Renal Cell Cancer|Stage IV Salivary Gland Cancer|Stage IV Squamous Cell Carcinoma of the Larynx|Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IV Squamous Cell Carcinoma of the Nasopharynx|Stage IV Squamous Cell Carcinoma of the Oropharynx|Stage IVA Cervical Cancer|Stage IVA Vaginal Cancer|Stage IVB Cervical Cancer|Stage IVB Vaginal Cancer|Stage IVB Vulvar Cancer|Thyroid Gland Medullary Carcinoma|Unresectable Extrahepatic Bile Duct Cancer|Unresectable Gallbladder Cancer|Urethral Cancer Associated With Invasive Bladder Cancer|WDHA Syndrome","Biological: recombinant interleukin-12|Biological: ABI-007/carboplatin/trastuzumab","National Cancer Institute (NCI)","Both","18 Years and older   (Adult, Senior)","Phase 1","15","NIH","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCI-2012-01398|99H0185|U01CA076576|CDR0000067282","December 10, 1999","August 1999","null","February 27, 2013","February 2013","No Study Results Posted","null","February 2009","Maximum tolerated dose (MTD) determined according to dose-limiting toxicities (DLTs) graded using Common Terminology Criteria for Adverse Events version 2.0 (CTCAE v2.0)","https://ClinicalTrials.gov/show/NCT00004074"
3714,"NCT02727153","""Ultra"" Enhanced Recovery After Surgery (E.R.A.S.) in Laparoscopic Colectomy for Cancer","Completed","No Results Available","Colonic Cancer","Other: ""Ultra"" E.R.A.S.|Other: Classic E.R.A.S.","AUSL Romagna Rimini","Both","18 Years to 90 Years   (Adult, Senior)","Phase 3","765","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","AUSLR","March 10, 2016","January 2008","December 2015","April 2, 2016","March 2016","No Study Results Posted","null","December 2015","Mortality|Morbidity|Reoperation rate|Readmission rate","https://ClinicalTrials.gov/show/NCT02727153"
3715,"NCT02301338","Improving Health of Patients With Colon Cancer Following Surgery: A Trial of SA-ICAN Via Videoconferencing","Terminated","No Results Available","Colon Cancer","Other: Usual care|Other: Videoconferencing|Device: IPad","Memorial Sloan Kettering Cancer Center","Both","65 Years and older   (Adult, Senior)","","2","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label","14-213","November 21, 2014","November 2014","null","April 26, 2016","April 2016","No Study Results Posted","null","April 2016","acute healthcare utilization (AHCU) rates","https://ClinicalTrials.gov/show/NCT02301338"
3716,"NCT02572141","FOLFOX or CAPOX Perioperative Chemotherapy Versus Postoperative Chemotherapy for Locally Advanced Colon Cancer (OPTICAL)","Recruiting","No Results Available","Colon Cancer","Drug: Perioperative chemotherapy with mFOLFOX6 or CAPOX regimens|Drug: Postoperative chemotherapy with mFOLFOX6 or CAPOX regimens","Sun Yat-sen University","Both","18 Years to 70 Years   (Adult, Senior)","Phase 3","738","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","GIHSYSU10|C01","October 1, 2015","October 2015","October 2022","December 29, 2015","October 2015","No Study Results Posted","OPTICAL","October 2020","Disease-free survival|Curative resection rate|Overall survival (OS)|Relapse-free survival (RFS)|Down-staging of primary tumors|Toxicity assessed using the NCI common toxicity criteria, version 4.0.|Postoperative complications","https://ClinicalTrials.gov/show/NCT02572141"
3717,"NCT01589419","A Clinical Study Conducted in Multiple Centers Evaluating Escalating Doses of Veliparib in Combination With Capecitabine and Radiation in Patients With Locally Advanced Rectal Cancer","Completed","No Results Available","Locally Advanced Rectal Cancer","Drug: veliparib|Drug: capecitabine|Radiation: radiation","AbbVie (prior sponsor, Abbott)|AbbVie","Both","18 Years and older   (Adult, Senior)","Phase 1","32","Industry","Interventional","Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","M12-950","April 30, 2012","June 2012","January 2015","January 20, 2015","January 2015","No Study Results Posted","null","January 2015","Determine the maximum tolerated dose (MTD) and/or establish the recommended phase two dose (RPTD)|Assess the safety (number of participants with adverse events and types of adverse events observed)|Assess the tolerability (number of participants with adverse events and types of adverse events observed)|Assess the pharmacokinetic profile by area under the curve vs. dose of veliparib","https://ClinicalTrials.gov/show/NCT01589419"
3718,"NCT00107679","A Study of Anal Cancer Development in HIV Infected People","Completed","No Results Available","HIV Infections|Anus Neoplasms","","National Institute of Allergy and Infectious Diseases (NIAID)","Both","13 Years and older   (Child, Adult, Senior)","","560","NIH","Observational","Time Perspective: Prospective","CPCRA 065G|SMART|10117","April 6, 2005","February 2005","March 2006","April 15, 2014","April 2014","No Study Results Posted","null","March 2006","Time to high-grade anal dysplasia or anal cancer|Time to anal cancer|time to low-grade or high-grade anal dysplasia|time to anal HPV infection|time to anal HPV infection with a specific strain, for types 16, 18, or 31|time to cervical HPV infection|time to cervical HPV infection with a specific strain, for types 16, 18, or 31|time to high-grade anal dysplasia|time from low-grade anal dysplasia to normal","https://ClinicalTrials.gov/show/NCT00107679"
3719,"NCT00979680","Sphincter-preserving Surgery After Preoperative Treatment of Ultra-low Rectal Carcinoma","Completed","No Results Available","Rectal Cancer","Radiation: High-Dose radiotherapy|Radiation: Chemo-radiotherapy","Institut du Cancer de Montpellier - Val d'Aurelle","Both","18 Years and older   (Adult, Senior)","Phase 3","207","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","KBR-2001","September 17, 2009","April 2001","September 2007","September 18, 2009","September 2009","No Study Results Posted","GRECCAR1","null","Sphincter preservation rate|Tumor response according to rectal endo-echography|operative mortality and morbidity|anatomopathology margins (lateral and inferior)|Functional results (stoma closure, continence, manometry)|Local recurrence|Disease-free survival|Overall Survival","https://ClinicalTrials.gov/show/NCT00979680"
3720,"NCT01347645","Irinotecan Plus E7820 Versus FOLFIRI in Second-Line Therapy in Patients With Locally Advanced or Metastatic Colon or Rectal Cancer","Active, not recruiting","No Results Available","Colon Cancer|Rectal Cancer","Drug: FOLFIRI|Drug: E7820","Eisai Inc.|PharmaBio Development Inc.","Both","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","95","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","E7820-702|2011-001762-18","April 28, 2011","October 2011","September 2014","July 17, 2014","July 2014","No Study Results Posted","null","September 2014","Safety parameter: adverse events|Safety Parameter: Concomitant medications|Safety parameter: lab tests|Safety parameter: ECGs|Efficacy parameter: Time to progression (TTP)|Efficacy parameter: Overall survival (OS|Efficacy parameter: Overall response rate (ORR)","https://ClinicalTrials.gov/show/NCT01347645"
3721,"NCT00795301","A Study of Radiotherapy in Rectal Cancer Using Oxaliplatin, Capecitabine With or Without Cetuximab","Active, not recruiting","No Results Available","Rectal Cancer","Drug: Capecitabine, Cetuximab, Oxaliplatin","National University Hospital, Singapore","Both","21 Years and older   (Adult, Senior)","Phase 2","74","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Primary Purpose: Treatment","CR02/06/07","November 20, 2008","July 2008","null","January 13, 2014","January 2014","No Study Results Posted","null","December 2014","","https://ClinicalTrials.gov/show/NCT00795301"
3722,"NCT02551471","Benchmarking Trial Between France and Australia Comparing Management of Primary Rectal Cancer Beyond TME (Total Mesorectum Excision) and Locally Recurrent Rectal Cancer","Recruiting","No Results Available","Rectal Cancer","Other: Blinded inter-country reading of pelvic MRI (Magnetic Resonance Imaging)|Other: MDT (Multidisciplinary team) meeting observation|Other: Semi-structured exploratory interviews and focus group with MDT health professional attendees","University Hospital, Bordeaux","Both","18 Years and older   (Adult, Senior)","","240","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CHUBX 2014/37","August 31, 2015","May 2015","March 2018","June 27, 2016","June 2016","No Study Results Posted","PELVICARE","December 2017","Clinical resection rates in both countries|Concordance rate of operative decisions between France and Australia|R0 resection rate|Disease Free Survival|Overall Survival|Post-operative morbidity and mortality rates|Quality of life questionnaire|Stress level score|Analyses of semi-structured interviews","https://ClinicalTrials.gov/show/NCT02551471"
